Date,Price,Open,High,Low,Vol.,Change %
2021-04-15,21.68,22.68,22.78,21.29,-,-4.2
2021-04-16,20.51,21.68,22.05,20.21,-,-5.4
2021-04-19,22.82,20.51,23.93,20.51,-,11.2
2021-04-20,24.37,22.82,25.4,22.82,-,6.7
2021-04-21,22.82,24.36,25.34,22.55,-,-6.3
2021-04-22,24.0,22.81,24.85,22.07,-,5.1
2021-04-23,22.32,23.97,23.97,21.99,-,-7.0
2021-04-26,22.57,22.34,23.59,22.31,-,1.1
2021-04-27,22.71,22.57,23.3,21.83,-,0.6
2021-04-28,22.36,22.71,23.3,22.09,-,-1.5
2021-04-29,22.42,22.37,23.84,22.15,-,0.2
2021-04-30,22.9,22.44,23.67,22.44,-,2.1
2021-05-03,23.34,22.89,23.78,22.65,-,1.9
2021-05-04,25.7,23.34,27.47,23.34,-,10.1
2021-05-05,25.66,25.7,26.16,24.01,-,-0.1
2021-05-06,24.83,25.63,27.2,24.66,-,-3.2
2021-05-07,22.79,24.82,24.91,22.71,-,-8.2
2021-05-10,26.59,22.73,26.62,22.73,-,16.6
2021-05-11,27.86,26.61,30.26,26.61,-,4.7
2021-05-12,31.87,27.86,32.72,27.86,-,14.3
2021-05-13,29.02,31.91,31.91,28.02,-,-8.9
2021-05-14,24.99,29.02,29.02,24.74,-,-13.8
2021-05-17,25.59,26.53,27.21,25.48,-,2.4
2021-05-18,26.14,25.71,26.42,24.73,-,2.1
2021-05-19,26.66,28.63,29.53,25.99,-,1.9
2021-05-20,24.24,25.81,25.85,24.08,-,-9.0
2021-05-21,24.3,24.33,24.54,23.45,-,0.2
2021-05-24,22.76,24.37,24.49,22.4,-,-6.3
2021-05-25,23.4,22.36,23.96,22.33,-,2.8
2021-05-26,22.35,23.31,23.56,22.31,-,-4.4
2021-05-27,22.12,22.37,22.62,21.37,-,-1.0
2021-05-28,21.44,22.08,22.08,20.86,-,-3.0
2021-06-01,22.68,22.37,23.38,22.34,-,5.7
2021-06-02,22.01,22.68,22.68,21.68,-,-2.9
2021-06-03,23.25,22.8,23.68,22.14,-,5.6
2021-06-04,21.22,23.34,23.34,21.17,-,-8.7
2021-06-07,21.37,22.29,22.48,21.37,-,0.7
2021-06-08,21.58,21.37,22.51,21.06,-,0.9
2021-06-09,22.01,21.33,22.23,21.29,-,1.9
2021-06-10,19.98,21.19,21.33,19.91,-,-9.2
2021-06-11,19.16,19.98,20.04,19.08,-,-4.1
2021-06-14,20.06,19.56,20.34,19.53,-,4.7
2021-06-15,20.93,20.31,21.21,20.26,-,4.3
